file,backend,precision,n_qubits,n_lines,n_nonempty_lines,n_qreg_declarations,n_classical_bits,n_measure,n_barrier,n_cx,n_cz,n_cp,n_cy,n_ch,n_swap,n_ccx,n_cswap,n_2q_gates,n_3q_gates,n_x,n_y,n_z,n_h,n_s,n_sdg,n_t,n_tdg,n_rx,n_ry,n_rz,n_u1,n_u2,n_u3,n_u,n_1q_gates,n_total_gates,n_unique_edges,n_edge_repetitions,max_qubit_degree,avg_qubit_degree,qubit_degree_std,n_connected_components,crude_depth,gates_per_layer_estimate,avg_gate_span,max_gate_span,std_gate_span,entanglement_pressure,midpoint_cut_crossings,has_qft_pattern,n_qft_like_gates,has_iqft_pattern,has_grover_pattern,has_variational_pattern,n_rotation_gates,has_ghz_pattern,n_custom_gates,n_opaque_gates,ratio_2q_gates,ratio_1q_gates,gates_per_qubit,2q_gates_per_qubit,1q_gates_per_qubit,circuit_density,max_fidelity_achieved,n_thresholds_tested,threshold_runtime,min_threshold,forward_runtime
qft_indep_qiskit_2.qasm,CPU,single,2,12,12,1,4,2,1,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,1.0,0.0,1,6.0,0.3333333333333333,1.0,1,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.16666666666666666,1.0,1,65.15960000106134,1,3391.198000026634
qft_indep_qiskit_2.qasm,CPU,double,2,12,12,1,4,2,1,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,1.0,0.0,1,6.0,0.3333333333333333,1.0,1,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.16666666666666666,1.0,1,67.31987999810372,1,3457.062999950722
ghz_indep_qiskit_3.qasm,CPU,single,3,11,11,1,3,3,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,1.3333333333333333,0.4714045207910317,1,3.6666666666666665,0.8181818181818182,1.0,1,0.0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.09090909090909091,1.0,2,64.87455999886151,2,5103.426000132458
ghz_indep_qiskit_3.qasm,CPU,double,3,11,11,1,3,3,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,1.3333333333333333,0.4714045207910317,1,3.6666666666666665,0.8181818181818182,1.0,1,0.0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.09090909090909091,1.0,2,70.14710000075866,2,5625.026999914553
wstate_indep_qiskit_2.qasm,CPU,single,2,12,12,1,2,2,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,2,0,1,1.0,0.0,1,6.0,0.8333333333333334,1.0,1,0.0,1.0,2,0,0,0,0,0,2,0,0,0,0.4,0.6,2.5,1.0,1.5,0.20833333333333334,1.0,2,68.8503799989121,2,3356.7620000394527
wstate_indep_qiskit_2.qasm,CPU,double,2,12,12,1,2,2,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,2,0,1,1.0,0.0,1,6.0,0.8333333333333334,1.0,1,0.0,1.0,2,0,0,0,0,0,2,0,0,0,0.4,0.6,2.5,1.0,1.5,0.20833333333333334,1.0,2,68.64748000225518,2,3345.088000060059
qftentangled_indep_qiskit_2.qasm,CPU,single,2,13,13,1,2,2,1,1,0,1,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,1,1.0,0.0,1,6.5,0.6153846153846154,1.0,1,0.0,1.5,2,0,1,0,0,0,0,0,0,0,0.5,0.5,3.0,1.5,1.5,0.23076923076923078,1.0,2,66.42829999909736,2,3514.962000044761
qftentangled_indep_qiskit_2.qasm,CPU,double,2,13,13,1,2,2,1,1,0,1,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,1,1.0,0.0,1,6.5,0.6153846153846154,1.0,1,0.0,1.5,2,0,1,0,0,0,0,0,0,0,0.5,0.5,3.0,1.5,1.5,0.23076923076923078,1.0,2,69.10744000051636,2,3466.5429999586195
graphstate_indep_qiskit_3.qasm,CPU,single,3,14,14,1,3,3,1,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,2,2.0,0.0,1,4.666666666666667,1.2857142857142856,1.3333333333333333,2,0.4714045207910317,1.0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.14285714285714285,1.0,2,71.4150999992853,2,5602.197999978671
graphstate_indep_qiskit_3.qasm,CPU,double,3,14,14,1,3,3,1,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,2,2.0,0.0,1,4.666666666666667,1.2857142857142856,1.3333333333333333,2,0.4714045207910317,1.0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.14285714285714285,1.0,2,65.9369599976344,2,7306.436999933794
dj_indep_qiskit_3.qasm,CPU,single,3,14,14,1,2,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,7,2,0,2,1.3333333333333333,0.4714045207910317,1,4.666666666666667,1.5,1.5,2,0.5,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0.2857142857142857,0.7142857142857143,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.16666666666666666,1.0,1,66.79244000115432,1,3492.538999998942
dj_indep_qiskit_3.qasm,CPU,double,3,14,14,1,2,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,7,2,0,2,1.3333333333333333,0.4714045207910317,1,4.666666666666667,1.5,1.5,2,0.5,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0.2857142857142857,0.7142857142857143,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.16666666666666666,1.0,1,68.16928000189364,1,3970.3400000871625
ghz_indep_qiskit_4.qasm,CPU,single,4,13,13,1,4,4,1,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,2,1.5,0.5,1,3.25,1.2307692307692308,1.0,1,0.0,0.75,1,0,0,0,0,0,0,0,0,0,0.75,0.25,1.0,0.75,0.25,0.07692307692307693,1.0,2,71.24001999909524,2,7469.023000012385
ghz_indep_qiskit_4.qasm,CPU,double,4,13,13,1,4,4,1,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,2,1.5,0.5,1,3.25,1.2307692307692308,1.0,1,0.0,0.75,1,0,0,0,0,0,0,0,0,0,0.75,0.25,1.0,0.75,0.25,0.07692307692307693,1.0,2,67.41259999980684,2,7529.839000053471
qpeexact_indep_qiskit_3.qasm,CPU,single,3,16,16,2,2,2,1,0,0,2,0,0,1,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,8,1,0,1,1.0,0.0,1,5.333333333333333,0.9375,1.0,1,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0.375,0.625,2.6666666666666665,1.0,1.6666666666666667,0.16666666666666666,1.0,1,69.81595999968704,1,3357.8889998898376
qpeexact_indep_qiskit_3.qasm,CPU,double,3,16,16,2,2,2,1,0,0,2,0,0,1,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,8,1,0,1,1.0,0.0,1,5.333333333333333,0.9375,1.0,1,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0.375,0.625,2.6666666666666665,1.0,1.6666666666666667,0.16666666666666666,1.0,1,65.67673999816179,1,3447.0790000341367
qpeinexact_indep_qiskit_3.qasm,CPU,single,3,17,17,2,2,2,1,0,0,3,0,0,1,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,9,1,0,1,1.0,0.0,1,5.666666666666667,0.8823529411764706,1.0,1,0.0,1.3333333333333333,1,0,2,0,0,0,0,0,0,0,0.4444444444444444,0.5555555555555556,3.0,1.3333333333333333,1.6666666666666667,0.17647058823529413,1.0,1,71.32526000204962,1,3529.1470000811387
qpeinexact_indep_qiskit_3.qasm,CPU,double,3,17,17,2,2,2,1,0,0,3,0,0,1,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,9,1,0,1,1.0,0.0,1,5.666666666666667,0.8823529411764706,1.0,1,0.0,1.3333333333333333,1,0,2,0,0,0,0,0,0,0,0.4444444444444444,0.5555555555555556,3.0,1.3333333333333333,1.6666666666666667,0.17647058823529413,1.0,1,70.03015999798663,1,3374.207999877399
qft_indep_qiskit_3.qasm,CPU,single,3,16,16,1,6,3,1,0,0,3,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,1,1.0,0.0,1,5.333333333333333,0.5625,2.0,2,0.0,1.3333333333333333,1,0,3,0,0,0,0,0,0,0,0.5714285714285714,0.42857142857142855,2.3333333333333335,1.3333333333333333,1.0,0.14583333333333334,1.0,1,66.15851999958977,1,3349.9959998880513
qft_indep_qiskit_3.qasm,CPU,double,3,16,16,1,6,3,1,0,0,3,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,1,1.0,0.0,1,5.333333333333333,0.5625,2.0,2,0.0,1.3333333333333333,1,0,3,0,0,0,0,0,0,0,0.5714285714285714,0.42857142857142855,2.3333333333333335,1.3333333333333333,1.0,0.14583333333333334,1.0,1,65.25289999844972,1,4120.461999991676
graphstate_indep_qiskit_4.qasm,CPU,single,4,17,17,1,4,4,1,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,2,2.0,0.0,1,4.25,1.8823529411764706,1.5,3,0.8660254037844386,1.0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.11764705882352941,1.0,3,65.59598000021651,4,7461.557000060566
graphstate_indep_qiskit_4.qasm,CPU,double,4,17,17,1,4,4,1,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,2,2.0,0.0,1,4.25,1.8823529411764706,1.5,3,0.8660254037844386,1.0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.11764705882352941,1.0,3,63.69796000071801,4,10859.039000060875
ghz_indep_qiskit_5.qasm,CPU,single,5,15,15,1,5,5,1,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,2,1.6,0.4898979485566356,1,3.0,1.6666666666666667,1.0,1,0.0,0.8,1,0,0,0,0,0,0,1,0,0,0.8,0.2,1.0,0.8,0.2,0.06666666666666667,1.0,2,70.60903999954462,2,8340.919999900507
ghz_indep_qiskit_5.qasm,CPU,double,5,15,15,1,5,5,1,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,2,1.6,0.4898979485566356,1,3.0,1.6666666666666667,1.0,1,0.0,0.8,1,0,0,0,0,0,0,1,0,0,0.8,0.2,1.0,0.8,0.2,0.06666666666666667,1.0,2,73.98114000097848,2,8914.13500008639
dj_indep_qiskit_4.qasm,CPU,single,4,18,18,1,3,3,1,3,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,7,10,3,0,3,1.5,0.8660254037844386,1,4.5,2.2222222222222223,2.0,3,0.816496580927726,0.75,2,0,0,0,0,0,0,0,0,0,0.3,0.7,2.5,0.75,1.75,0.1388888888888889,1.0,1,66.01623999886215,1,4548.0599999427795
dj_indep_qiskit_4.qasm,CPU,double,4,18,18,1,3,3,1,3,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,7,10,3,0,3,1.5,0.8660254037844386,1,4.5,2.2222222222222223,2.0,3,0.816496580927726,0.75,2,0,0,0,0,0,0,0,0,0,0.3,0.7,2.5,0.75,1.75,0.1388888888888889,1.0,1,69.28305999899749,1,7701.036999933422
qftentangled_indep_qiskit_3.qasm,CPU,single,3,18,18,1,3,3,1,2,0,3,0,0,1,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,2,2.0,0.0,1,6.0,1.0,1.3333333333333333,2,0.4714045207910317,2.0,2,0,3,0,0,0,0,0,0,0,0.6,0.4,3.3333333333333335,2.0,1.3333333333333333,0.18518518518518517,1.0,2,67.14064000116196,2,5946.344999974826
qftentangled_indep_qiskit_3.qasm,CPU,double,3,18,18,1,3,3,1,2,0,3,0,0,1,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,2,2.0,0.0,1,6.0,1.0,1.3333333333333333,2,0.4714045207910317,2.0,2,0,3,0,0,0,0,0,0,0,0.6,0.4,3.3333333333333335,2.0,1.3333333333333333,0.18518518518518517,1.0,2,68.16857999947388,2,6772.266000043601
ae_indep_qiskit_2.qasm,CPU,single,2,15,15,2,2,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,5,7,1,1,1,1.0,0.0,1,7.5,0.6666666666666666,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,2.5,1.0,1.5,0.16666666666666666,1.0,2,65.35007999918889,2,4033.723999891663
ae_indep_qiskit_2.qasm,CPU,double,2,15,15,2,2,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,5,7,1,1,1,1.0,0.0,1,7.5,0.6666666666666666,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,2.5,1.0,1.5,0.16666666666666666,1.0,2,67.55008000181988,2,3400.4429999913555
wstate_indep_qiskit_3.qasm,CPU,single,3,17,17,1,3,3,1,2,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,9,4,0,2,1.3333333333333333,0.4714045207910317,1,5.666666666666667,1.588235294117647,1.0,1,0.0,1.3333333333333333,2,0,0,0,0,0,4,0,0,0,0.4444444444444444,0.5555555555555556,3.0,1.3333333333333333,1.6666666666666667,0.17647058823529413,1.0,2,66.86932000156958,2,4916.701000038302
wstate_indep_qiskit_3.qasm,CPU,double,3,17,17,1,3,3,1,2,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,9,4,0,2,1.3333333333333333,0.4714045207910317,1,5.666666666666667,1.588235294117647,1.0,1,0.0,1.3333333333333333,2,0,0,0,0,0,4,0,0,0,0.4444444444444444,0.5555555555555556,3.0,1.3333333333333333,1.6666666666666667,0.17647058823529413,1.0,2,66.75323999952525,2,5747.824999998556
qpeexact_indep_qiskit_4.qasm,CPU,single,4,21,21,2,3,3,1,0,0,4,0,0,1,0,0,5,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,12,1,0,1,1.0,0.0,1,5.25,1.3333333333333333,2.0,2,0.0,1.25,1,0,3,0,0,0,0,0,0,0,0.4166666666666667,0.5833333333333334,3.0,1.25,1.75,0.14285714285714285,1.0,1,65.55495999928098,1,3397.0419999968726
qpeexact_indep_qiskit_4.qasm,CPU,double,4,21,21,2,3,3,1,0,0,4,0,0,1,0,0,5,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,12,1,0,1,1.0,0.0,1,5.25,1.3333333333333333,2.0,2,0.0,1.25,1,0,3,0,0,0,0,0,0,0,0.4166666666666667,0.5833333333333334,3.0,1.25,1.75,0.14285714285714285,1.0,1,70.12181999743916,1,4993.517999973847
ghz_indep_qiskit_6.qasm,CPU,single,6,17,17,1,6,6,1,5,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,5,0,2,1.6666666666666667,0.4714045207910317,1,2.8333333333333335,2.1176470588235294,1.0,1,0.0,0.8333333333333334,1,0,0,0,0,0,0,1,0,0,0.8333333333333334,0.16666666666666666,1.0,0.8333333333333334,0.16666666666666666,0.058823529411764705,1.0,2,70.06310000142548,2,10570.05399998161
ghz_indep_qiskit_6.qasm,CPU,double,6,17,17,1,6,6,1,5,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,5,0,2,1.6666666666666667,0.4714045207910317,1,2.8333333333333335,2.1176470588235294,1.0,1,0.0,0.8333333333333334,1,0,0,0,0,0,0,1,0,0,0.8333333333333334,0.16666666666666666,1.0,0.8333333333333334,0.16666666666666666,0.058823529411764705,1.0,2,73.06469999894034,2,11592.671999969753
graphstate_indep_qiskit_5.qasm,CPU,single,5,20,20,1,5,5,1,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,2,2.0,0.0,1,4.0,2.5,1.6,3,0.8,1.0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.1,1.0,3,68.41226000105962,4,10571.82799995644
graphstate_indep_qiskit_5.qasm,CPU,double,5,20,20,1,5,5,1,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,2,2.0,0.0,1,4.0,2.5,1.6,3,0.8,1.0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.1,1.0,3,68.56144000194035,4,18728.31499989843
dj_indep_qiskit_5.qasm,CPU,single,5,22,22,1,4,4,1,4,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,9,13,4,0,4,1.6,1.2000000000000002,1,4.4,2.954545454545454,2.5,4,1.118033988749895,0.8,2,0,0,0,0,0,0,1,0,0,0.3076923076923077,0.6923076923076923,2.6,0.8,1.8,0.11818181818181818,1.0,1,71.73683999862988,1,5633.334000012837
dj_indep_qiskit_5.qasm,CPU,double,5,22,22,1,4,4,1,4,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,9,13,4,0,4,1.6,1.2000000000000002,1,4.4,2.954545454545454,2.5,4,1.118033988749895,0.8,2,0,0,0,0,0,0,1,0,0,0.3076923076923077,0.6923076923076923,2.6,0.8,1.8,0.11818181818181818,1.0,1,67.13155999896117,1,12496.163000032539
ghz_indep_qiskit_7.qasm,CPU,single,7,19,19,1,7,7,1,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,6,0,2,1.7142857142857142,0.45175395145262565,1,2.7142857142857144,2.5789473684210527,1.0,1,0.0,0.8571428571428571,1,0,0,0,0,0,0,1,0,0,0.8571428571428571,0.14285714285714285,1.0,0.8571428571428571,0.14285714285714285,0.05263157894736842,1.0,2,65.03015999915078,2,13189.325000130339
ghz_indep_qiskit_7.qasm,CPU,double,7,19,19,1,7,7,1,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,6,0,2,1.7142857142857142,0.45175395145262565,1,2.7142857142857144,2.5789473684210527,1.0,1,0.0,0.8571428571428571,1,0,0,0,0,0,0,1,0,0,0.8571428571428571,0.14285714285714285,1.0,0.8571428571428571,0.14285714285714285,0.05263157894736842,1.0,2,70.96339999989141,2,15017.515000072308
qpeinexact_indep_qiskit_4.qasm,CPU,single,4,23,23,2,3,3,1,0,0,6,0,0,1,0,0,7,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,14,1,0,1,1.0,0.0,1,5.75,1.2173913043478262,2.0,2,0.0,1.75,1,0,5,0,0,0,0,0,0,0,0.5,0.5,3.5,1.75,1.75,0.15217391304347827,1.0,1,69.27190000133123,1,4100.646000006236
qpeinexact_indep_qiskit_4.qasm,CPU,double,4,23,23,2,3,3,1,0,0,6,0,0,1,0,0,7,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,14,1,0,1,1.0,0.0,1,5.75,1.2173913043478262,2.0,2,0.0,1.75,1,0,5,0,0,0,0,0,0,0,0.5,0.5,3.5,1.75,1.75,0.15217391304347827,1.0,1,64.917200000491,1,4294.97100005392
grover-noancilla_indep_qiskit_3.qasm,CPU,single,3,22,22,2,3,3,1,3,0,3,0,0,0,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,7,13,2,1,1,1.0,0.0,1,7.333333333333333,1.3636363636363638,1.0,1,0.0,2.0,3,0,3,0,0,0,0,0,0,0,0.46153846153846156,0.5384615384615384,4.333333333333333,2.0,2.3333333333333335,0.19696969696969696,1.0,2,65.2072800003225,2,5030.415000073845
grover-noancilla_indep_qiskit_3.qasm,CPU,double,3,22,22,2,3,3,1,3,0,3,0,0,0,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,7,13,2,1,1,1.0,0.0,1,7.333333333333333,1.3636363636363638,1.0,1,0.0,2.0,3,0,3,0,0,0,0,0,0,0,0.46153846153846156,0.5384615384615384,4.333333333333333,2.0,2.3333333333333335,0.19696969696969696,1.0,2,68.04205999942496,2,5505.409000033978
